Name,Material,Length,Width
001,Kiaat(AB)-25mm,1721.7,100
002,Kiaat(AB)-25mm,284.5,100
003,Kiaat(AB)-25mm,1721.7,100
004,Kiaat(AB)-25mm,284.5,100
005,Kiaat(AB)-25mm,955,69.3
006,Kiaat(AB)-25mm,995,60
007,Kiaat(AB)-25mm,955,69.6
008,Kiaat(AB)-25mm,955,80
009,Kiaat(AB)-25mm,955,60
010,Kiaat(AB)-25mm,955,60
011,Kiaat(AB)-25mm,310,100
012,Kiaat(AB)-25mm,310,100
013,Kiaat(AB)-25mm,310,36
014,Kiaat(AB)-25mm,310,36
015,Kiaat(AB)-25mm,354.5,36
016,Kiaat(AB)-25mm,354.5,36
017,Kiaat(AB)-25mm,299,20
018,Kiaat(AB)-25mm,299,20
019,Kiaat(AB)-25mm,299,20
020,Kiaat(AB)-25mm,299,20
021,Kiaat(AB)-25mm,327.5,20
022,Kiaat(AB)-25mm,327.5,20
023,Kiaat(AB)-25mm,955,80
024,Kiaat(AB)-25mm,310,100
025,Kiaat(AB)-25mm,310,100
026,Kiaat(AB)-25mm,310,36
027,Kiaat(AB)-25mm,310,36
028,Kiaat(AB)-25mm,354.5,36
029,Kiaat(AB)-25mm,354.5,36
030,Kiaat(AB)-25mm,299,20
031,Kiaat(AB)-25mm,327.5,20
032,Kiaat(AB)-25mm,327.5,20
033,Kiaat(AB)-25mm,955,80
034,Kiaat(AB)-25mm,310,100
035,Kiaat(AB)-25mm,310,100
036,Kiaat(AB)-25mm,310,36
037,Kiaat(AB)-25mm,310,36
038,Kiaat(AB)-25mm,354.5,36
039,Kiaat(AB)-25mm,354.5,36
040,Kiaat(AB)-25mm,299,20
041,Kiaat(AB)-25mm,327.5,20
042,Kiaat(AB)-25mm,327.5,20
043,Kiaat(AB)-25mm,955,80
044,Kiaat(AB)-25mm,310,100
045,Kiaat(AB)-25mm,310,100
046,Kiaat(AB)-25mm,310,36
047,Kiaat(AB)-25mm,310,36
048,Kiaat(AB)-25mm,354.5,36
049,Kiaat(AB)-25mm,354.5,36
050,Kiaat(AB)-25mm,299,20
